DEN,LAR,48.0,158.0,1110.0
DEN,PUB,48.0,165.0,508.0
DEN,HDN,60.0,193.0,183.0
DEN,GUC,56.0,213.0,525.0
DEN,SLC,85.0,238.0,11938.0
DEN,DRO,68.0,242.0,1114.0
DEN,EGE,58.0,257.0,12.0
DEN,RAP,73.0,261.0,1127.0
DEN,HYS,71.0,284.0,1118.0
DEN,SAF,73.0,288.0,573.0
DEN,MTJ,60.0,295.0,886.0
DEN,JMS,109.0,308.0,777.0
DEN,GTF,114.0,322.0,1514.0
DEN,MOT,112.0,327.0,2004.0
DEN,HLN,112.0,338.0,656.0
DEN,DIK,100.0,437.0,655.0
DFW,IAH,69.0,181.0,7741.0
DFW,LAW,51.0,152.0,2474.0
DFW,SPS,49.0,155.0,2340.0
DFW,FSM,64.0,180.0,2491.0
DFW,LBB,70.0,184.0,1338.0
DFW,GGG,55.0,191.0,1229.0
DFW,SHV,62.0,195.0,4363.0
DFW,XNA,73.0,197.0,4280.0
DFW,TYR,50.0,203.0,3067.0
DFW,SJT,60.0,211.0,3103.0
DFW,GRK,51.0,223.0,5003.0
DFW,TXK,58.0,255.0,1833.0
DFW,ROW,90.0,284.0,1831.0
DFW,GCK,86.0,299.0,1272.0
DFW,GRI,106.0,308.0,1218.0
DFW,MHK,90.0,329.0,1898.0
DFW,MEI,98.0,332.0,892.0
DFW,JLN,80.0,397.0,1269.0
DLH,MSP,55.0,175.0,1213.0
DSM,ORD,78.0,271.0,6026.0
DTW,SBN,59.0,161.0,2571.0
DTW,FWA,55.0,147.0,1941.0
DTW,MBS,50.0,153.0,864.0
DTW,ERI,62.0,155.0,196.0
DTW,LAN,47.0,161.0,857.0
DTW,GRR,52.0,177.0,2726.0
DTW,ELM,76.0,192.0,2824.0
DTW,PIT,62.0,202.0,1054.0
DTW,IND,67.0,203.0,1473.0
DTW,TVC,62.0,205.0,1505.0
DTW,LEX,75.0,220.0,977.0
DTW,SWF,100.0,253.0,38.0
DTW,MQT,89.0,276.0,35.0
DTW,SCE,71.0,303.0,416.0
DTW,ESC,75.0,309.0,1105.0
DTW,PLN,70.0,338.0,1461.0
DTW,ITH,87.0,360.0,61.0
DVL,JMS,42.0,194.0,721.0
EAU,ORD,76.0,217.0,1270.0
EKO,SLC,55.0,210.0,1035.0
ELP,SAT,83.0,219.0,1587.0
EUG,SFO,93.0,233.0,3626.0
EVV,ORD,77.0,217.0,3300.0
EWR,PHL,61.0,185.0,2.0
EWR,ROC,75.0,198.0,1406.0
EWR,SYR,72.0,198.0,971.0
EYW,MIA,46.0,166.0,1070.0
FAR,MSP,63.0,270.0,3419.0
FAT,SAN,70.0,195.0,388.0
FCA,MSO,54.0,168.0,1.0
FLG,PHX,51.0,155.0,3217.0
FLL,TPA,56.0,165.0,3802.0
FLL,JAX,73.0,333.0,1447.0
FLL,STT,164.0,412.0,612.0
FNT,ORD,66.0,166.0,3539.0
FSD,MSP,62.0,242.0,2525.0
GCC,SLC,86.0,223.0,660.0
GFK,MSP,75.0,302.0,1427.0
GJT,SLC,63.0,207.0,1234.0
GRB,MSP,67.0,265.0,2099.0
GSO,IAD,68.0,201.0,120.0
GST,JNU,32.0,97.0,150.0
GUM,HNL,442.0,1448.0,662.0
HIB,INL,44.0,156.0,637.0
HNL,LIH,38.0,151.0,11695.0
HNL,ITO,53.0,149.0,9571.0
HNL,PPG,334.0,884.0,213.0
HOB,IAH,99.0,387.0,1086.0
HOU,MAF,80.0,233.0,2200.0
HRL,IAH,71.0,189.0,2344.0
HYA,JFK,61.0,187.0,163.0
IAD,PIT,63.0,218.0,427.0
IAD,TTN,105.0,282.0,1.0
IAD,ROA,68.0,304.0,10.0
IAD,UST,116.0,418.0,6.0
IAG,MYR,110.0,329.0,230.0
IAH,MLU,69.0,177.0,1544.0
IAH,LCH,48.0,123.0,2110.0
IAH,LFT,62.0,166.0,4227.0
IAH,SAT,60.0,181.0,4552.0
IAH,MFE,75.0,228.0,3782.0
IAH,JAN,80.0,258.0,3788.0
IAH,LRD,74.0,265.0,1794.0
IAH,PNS,98.0,289.0,2770.0
IDA,SLC,56.0,189.0,2637.0
ILG,MCO,141.0,465.0,122.0
IMT,RHI,41.0,164.0,554.0
INL,MSP,69.0,176.0,482.0
ISN,MSP,109.0,389.0,2108.0
ITO,OGG,39.0,154.0,1334.0
JAC,SLC,58.0,260.0,1886.0
JFK,MVY,59.0,185.0,242.0
JFK,PWM,74.0,201.0,2281.0
JFK,PSE,230.0,667.0,649.0
JNU,SIT,41.0,199.0,1395.0
JNU,PSG,43.0,119.0,654.0
JNU,YAK,51.0,193.0,650.0
KOA,OGG,35.0,138.0,1671.0
KTN,WRG,37.0,105.0,650.0
LAS,RNO,72.0,184.0,6383.0
LAX,SAN,52.0,200.0,9077.0
LAX,SBP,63.0,172.0,2688.0
LAX,PSP,55.0,205.0,1438.0
LAX,SMX,58.0,206.0,493.0
LBE,MYR,85.0,382.0,386.0
LGA,RIC,87.0,238.0,2566.0
LGA,MHT,75.0,289.0,242.0
LGB,PHX,92.0,256.0,2.0
LIH,SFO,316.0,804.0,856.0
LNK,MCI,51.0,130.0,1.0
LSE,ORD,68.0,243.0,2202.0
